4/17/2017,Amazon.ca,30.26,Internet
4/13/2017,ARAMARK ENTERTAINMENT,12.25,Dining
4/13/2017,ARAMARK ENTERTAINMENT,12.25,Dining
4/13/2017,ARAMARK ENTERTAINMENT,12.25,Dining
4/13/2017,MCDONALD'S #40022 Q04,8.99,Dining
4/13/2017,OTHER,-176.2,Payment
4/12/2017,SHERIDAN COLLEGESEQPS,5.65,Dining
4/12/2017,SHERIDAN STUDENT UNION,7.35,Dining
4/11/2017,BURGER KING,10.85,Dining
4/10/2017,MONAGHAN'S SPORTS PUB,64.61,Dining
4/9/2017,STARBUCKS CARD RELOAD,10,Merchandise
4/8/2017,Amazon *Marketplce CA,-17,Internet
4/7/2017,SHERIDAN STUDENT UNION,79.35,Dining
4/7/2017,SHERIDAN STUDENT UNION,7.91,Dining
4/5/2017,Amazon.ca,172.03,Internet
4/5/2017,CIMS - GUARDIAN PHARMA,1.12,Healthcare
4/5/2017,BIBME PRO,13.74,Merchandise
4/5/2017,DRAG SHOW & PRIDE P...,11.68,Entertainment
4/4/2017,Amazon *Marketplce CA,29.89,Internet
4/4/2017,THE 3 BREWERS OAKVILLE,30.01,Dining
4/2/2017,COINAMATIC CANADA INC.,30,Other Services
4/1/2017,BOSTON PIZZA # 478,24.4,Dining
4/1/2017,RABBA 141 Q4R,4.52,Merchandise
4/1/2017,SUBWAY # 40942,4.2,Dining
3/31/2017,SHERIDAN STUDENT UNION,26.38,Dining
3/31/2017,PAYMENT,-36,Payment
3/30/2017,SHERIDAN STUDENT UNION,6.97,Dining
3/30/2017,SHERIDAN STUDENT UNION,7.91,Dining
3/30/2017,MONAGHAN'S SPORTS PUB,37.08,Dining
3/30/2017,ABERCROMBIE & FITCH,88.37,Merchandise
3/30/2017,RABBA 141 Q4R,13.25,Merchandise
3/30/2017,SHERIDAN COLLEGESEQPS,2.66,Dining
3/29/2017,BOSTON PIZZA # 444,29.35,Dining
3/29/2017,LCBO/RAO #445,21.55,Merchandise
3/25/2017,INTEREST CHARGES,111.34,Interest Charge
3/25/2017,INTEREST CHARGES,0.08,Interest Charge
3/22/2017,APL* ITUNES.COM/BILL,4.99,Merchandise
3/21/2017,STARBUCKS CARD RELOAD,10,Merchandise
3/17/2017,PAYMENT,-170,Payment
